type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size,predX,predDX,policy,algoType
ticker,21799765406,BTC-USD,48137.69,54961.08,71012.84903841,44888.08,55043.63,854301.08933788,48137.69,48137.70,sell,2021-02-23T21:36:01.824157Z,137333055,0.000519,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765447,BTC-USD,48137.7,54961.08,71012.84934224,44888.08,55043.63,854301.08964171,48137.69,48137.70,buy,2021-02-23T21:36:01.913910Z,137333056,0.00030383,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765497,BTC-USD,48137.7,54961.08,71012.85360027,44888.08,55043.63,854301.09389974,48137.69,48137.70,buy,2021-02-23T21:36:02.001869Z,137333058,0.00018631,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765506,BTC-USD,48137.7,54961.08,71012.85459250,44888.08,55043.63,854301.09489197,48137.69,48137.70,buy,2021-02-23T21:36:02.009757Z,137333059,0.00099223,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765596,BTC-USD,48137.69,54961.08,71012.85754851,44888.08,55043.63,854301.09784798,48137.69,48137.70,sell,2021-02-23T21:36:02.484449Z,137333061,0.00206702,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765660,BTC-USD,48144.24,54961.08,71012.85803434,44888.08,55043.63,854301.09833381,48137.96,48144.24,buy,2021-02-23T21:36:02.538637Z,137333062,0.00048583,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765843,BTC-USD,48139.94,54961.08,71012.85831359,44888.08,55043.63,854301.09861306,48139.93,48139.94,buy,2021-02-23T21:36:02.827329Z,137333063,0.00027925,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765858,BTC-USD,48139.94,54961.08,71012.87898632,44888.08,55043.63,854301.11928579,48139.93,48139.94,buy,2021-02-23T21:36:02.878568Z,137333064,0.02067273,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765905,BTC-USD,48139.94,54961.08,71012.89935048,44888.08,55043.63,854301.13964995,48139.93,48139.94,buy,2021-02-23T21:36:02.978936Z,137333065,0.02036416,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799765976,BTC-USD,48139.94,54961.08,71012.90342296,44888.08,55043.63,854301.14372243,48139.93,48139.94,buy,2021-02-23T21:36:03.161791Z,137333066,0.00407248,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799766005,BTC-USD,48139.94,54961.08,71012.91360656,44888.08,55043.63,854301.15390603,48139.93,48139.94,buy,2021-02-23T21:36:03.212611Z,137333067,0.0101836,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799766050,BTC-USD,48139.94,54961.08,71012.91484745,44888.08,55043.63,854301.15514692,48139.93,48139.94,buy,2021-02-23T21:36:03.423172Z,137333068,0.00124089,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799766189,BTC-USD,48139.94,54961.08,71012.91523001,44888.08,55043.63,854301.15552948,48139.93,48139.94,buy,2021-02-23T21:36:04.008994Z,137333069,0.00038256,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799766225,BTC-USD,48139.94,54961.08,71012.91657361,44888.08,55043.63,854301.15687308,48139.93,48139.94,buy,2021-02-23T21:36:04.155132Z,137333070,0.0013436,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799766254,BTC-USD,48147.19,54961.08,71013.42558962,44888.08,55043.63,854301.66588909,48139.93,48147.19,buy,2021-02-23T21:36:04.198332Z,137333073,0.14594743,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
